Aircraft structures 1,This unit provides you with the necessary skills and knowledge in solid mechanics to confidently analyse and design engineering components and structures with particular reference to the aerospace industry. Each part of the unit contrasts theory and practical application in order to impart a practical appreciation of the knowledge gained. The role of approximate methods of analysis and their interaction with practical situations is highlighted. Constant use is made of real-life problems from the aerospace industry,Aerospace
Thermodynamics and heat transfer,"This unit provides the discipline basis for applications in energy, power and heat transfer. It is the core unit in the discipline of thermal sciences, providing a basic level of knowledge and problem solving capability in thermodynamics and heat transfer. The thermal sciences disciplines are central to mechanical and aerospace engineering, being used in the design and analysis of energy conversion devices and systems. Inevitably, in those conversion processes involving heat, analysis and consequent design requires an understanding of the basic heat transfer mechanisms. Thus, the unit is core to understanding aircraft propulsion and computational heat and fluid flow at later year levels.",Aerospace
Aerospace computational mechanics,"This unit introduces numerical analysis techniques for interpolation, root finding, integration, the solution of ordinary differential equations, and the analysis of data. The role computers play in the solution of modern aerospace engineering problems is emphasised through exposure to finite difference, finite volume and finite element techniques for partial differential equations, and the implementation of these techniques in commercial fluid dynamics and structural mechanics packages.",Aerospace
Aerodynamics 1,"This unit develops your physical and analytical understanding of the bases for aerodynamic flows and translates that into the ability to formulate, analyse and solve aerodynamic problems. It covers an introduction to the concept of a fluid and the continuum hypothesis. Definition of aerodynamic variables and coefficients. Introduction and description of fluid flow kinematics, and the application of this knowledge to the design and use of pumps, fans and compressors. Introduction of conservation principles and their application to the development of the governing equations for incompressible inviscid aerodynamic flows based on the ideas of control mass and control volume. Development of Bernoulli's equation. Solution of the governing Laplace equation for fundamental potential flows and the application of the principle of superposition to derive the solution of complex aerodynamic flows. Development and application of thin airfoil theory for infinite wings, and lifting line theory for finite wings. Introduction to the panel method for the analyses of general three-dimensional incompressible inviscid flow over twisted and delta wings.",Aerospace
Aircraft performance,"The course provides an introduction to aircraft performance with the aim of enabling you to predict answers to questions such as: how high, how fast or how slowly can an aircraft fly, how quickly can it climb or turn in a circle, how much runway does it require to take off and land, and how much fuel does it need to travel a given distance.
The emphasis is on physical understanding, and the focus is on subsonic aircraft performance. In order to support the aircraft performance topics that form the core of the course, basic fluid mechanics is introduced so that you can understand and predict the main sources of lift and drag forces produced on aircraft.
A brief introduction is also given to airbreathing aircraft powerplants so that you understand their basic characteristics and why different powerplant classes are appropriate to different flight speed regimes. Aircraft longitudinal stability concepts are introduced, as are the basic phenomena of transonic and supersonic flight.",Aerospace
Orbital mechanics and spaceflight dynamics,"This unit introduces second year aerospace engineering students to the concepts of time, space, coordinate systems, particles, rigid bodies, forces, work, energy and Newton's Laws of Motion. You will be taught the fundamentals of kinematics and kinetics of rigid bodies and systems of particles and to carry out dynamic analysis to balance systems with rotating and reciprocating masses. These fundamental principles will then be applied to the study of orbital bodies and spacecraft, including multi-body problems, trajectory planning and orbital transfers.",Aerospace
Aerodynamics 2,"This unit develops further your physical understanding and analytical skills by including compressibility effects and the viscous nature of aerodynamic flows and translates that into the ability to formulate, analyse and solve very general aerodynamic problems. It covers control volume analysis of steady, one-dimensional, linear and nonlinear compressible flows. Nozzle flows. Steady, supersonic, two-dimensional linear and nonlinear flows. Linearised compressible subsonic and supersonic flow. Introduction to transonic and hypersonic flow. Control volume analysis of viscous incompressible flow, boundary layer flow and free shear flows like jets and wakes, including momentum integral analysis, similarity analysis and similarity solutions of these equations as they pertain to wall-bounded and free shear flows. Application of this knowledge to simple design problems.",Aerospace
Aerospace design project,"On completion of this unit, you will have an understanding of the key elements of aircraft performance analysis as used in aerospace vehicle design. A student project involving the initial design stages of a flight vehicle will integrate these studies. Various characteristics of aircraft performance and their design implications will be examined including whole-aircraft drag polar, power plant characterisation, thrust required in level flight, maximum speed estimation, minimum speed and high-lift devices, rate of climb, gliding, range, endurance, accelerated flight, structural limitations on performance, design for longitudinal and lateral stability. Mission analysis and preliminary weight estimation based on a design concept will be examined together with the aerodynamic synthesis to satisfy performance requirements, power plant selection, overall vehicle layout and balance. Trade-offs as a necessary part of the design will be apparent to you on completion of this unit.",Aerospace
Flight vehicle dynamics,"This unit introduces you to the fundamental aspects in flight dynamics. The requirements and associated equations for static equilibrium and trim are developed. Further, these equations are treated to describe longitudinal static stability and lateral static stability. Performance and flying handling will be introduced. The equations of motion of a rigid vehicle are developed, together with the solution of these and introduction to state space model. The role of small perturbations, aerodynamic force and moment derivatives, aerodynamic control inputs will be established, together with linearised equations. The description of aircraft attitude and Euler angles are presented. The basis and formulations for lateral and longitudinal dynamics and stability will be developed. Control of aircrafts will also be introduced.",Aerospace
Flight vehicle propulsion,"This unit builds on concepts in MAE3401 and relates aircraft and rocket engines to the laws of thermodynamics, various fuel-air power cycles, their real behaviour plus fuel and combustion chemistry. Efficiency and performance of aircraft engines based on piston and gas turbine platforms are examined along with piston and turboprop engines and propeller design for subsonic speed. For jets and turbofan engines, nozzle design for transonic to supersonic speed is covered, as are supersonic engines. The unit concludes with an introduction to rocket motors and their design and performance for both atmospheric and space flight.",Aerospace
