Management,AMME5105,Risk Management Analysis,https://cusp.sydney.edu.au/students/view-unit-page/uos_id/289753,"aims to extend the knowledge and skills of students who have completed the prerequisite unit of study, ""ENGG5103 - Safety Systems and Risk Analysis""; building on the foundation material introduced in that unit of study. The effective management of workplace safety systems using Australian/New Zealand standards AS/NZS 4801/4804 is discussed and applied to typical engineering scenarios; some common international approaches and systems are also covered, though to a smaller extent. Processes and procedures related to the creation of risk assessments and analyses are explored, as related to common engineering disciplines. Systems and processes used to perform Hazard and Operability (Hazop) studies are introduced, alongside computational probability based risk quantification procedures. Methods to audit and monitor the performance of safety management systems are discussed, with a focus on the use of lead indicators. Various incident investigation techniques are examined, in conjunction with safety auditing systems. The classification and management of hazardous materials is addressed, with reference to legislative requirements. The importance of a positive workplace safety culture, and issues related to human factors in safety management are also studied and techniques to promote a strong safety culture explored. The unit of study incorporates the use of various real world case studies, from a variety of different engineering disciplines."
Engineering,ENGG3854,Legal Aspects of Projects,https://cusp.sydney.edu.au/students/view-unit-page/uos_id/286269,"All projects exist in a legal context.  They are initiated through agreements leading to formal or implied contracts between clients and suppliers. They are subject to various forms of legislation, regulation and codes of conduct."
Management,PMGT2821,Project Conflict Management ,https://cusp.sydney.edu.au/students/view-unit-page/uos_id/290042,"All projects exist in the context of conflicting priorities.  Conflict can start from the point of inception when there may be different ideas about what should be achieved in a project. It can continue through negotiation of contracts to deliver the work, to robust discussion as to what counts as acceptable upon delivery.    This Unit develops students’ ability to anticipate, understand and ameliorate conflict, reaching negotiated agreements that are acceptable to all parties.   Unexpected conflict crises also arise requiring project managers to mediate an outcome that allows the project to move forward."
Management,PMGT1852,Facilitation and Stakeholder Engagement,https://cusp.sydney.edu.au/students/view-unit-page/uos_id/289797,"All projects exist within a network of stakeholders including senior management, customers, users, team members and many others. Ability to facilitate the interactions within this network allows us to better identify, assess and prioritise stakeholder needs and concerns in order to achieve project outcomes. This unit of study covers two key aspects: (i) Communication with respect to facilitation techniques, influence, engagement and project teamwork; and (ii) Stakeholder Engagement, with emphasis on the process of stakeholder identification, analysis and prioritisation using theoretical and practical frameworks such as salient models and stakeholder network analysis."
Mechanical,AMME1362,Materials 1,https://cusp.sydney.edu.au/students/view-unit-page/uos_id/287911,"AMME1362/9302 is an introductory course in engineering materials. The unit aims to develop students' understanding of the structures, mechanical properties and manufacture of a range of engineering materials as well as how the mechanical properties relate to microstructure and forming and treatment methods. The unit has no prerequisite subject and is therefore intended for those with little or no previous background in engineering materials. However the unit does require students to take a significant degree of independent responsibility for developing their own background knowledge of materials and their properties. The electrical, magnetic, thermal and optical properties of materials are a critical need-to-know area where students are expected to do most of their learning by independent study."
Biomedical,AMME2960,Biomedical Engineering 2,https://cusp.sydney.edu.au/students/view-unit-page/uos_id/288616,"AMME2960 Biomedical Engineering 2 is the third of the four Biomedical Engineering foundational units. The first (AMME1960 Biomedical Engineering 1A) introduces students to the discipline of biomedical engineering, covering the key concepts of biomedical technology, design, biomechanics, and the important systems of the human body from a biomedical engineering perspective. The second (AMME1961 Biomedical Engineering 1B) is an introduction to Biotechnology. The fourth (MECH2901 Anatomy and Physiology for Engineers) provides a hands-on anatomy and physiology study of the key systems of the human body from a biomedical engineering perspective and includes cadaver laboratories. This unit (AMME2960 Biomedical Engineering 2) is designed to provide students with the necessary tools for mathematically modelling and solving problems in engineering. Engineering methods will be considered for a range of canonical problems, including conduction heat transfer in one and two dimensions, vibration, stress and deflection analysis, convection and stability problems. The mathematical tools covered in the lectures include: deriving analytical solutions via separation of variables, Fourier series and Fourier transforms, Laplace transforms, scaling and solving numerically using finite differences, finite element and finite volume approaches. There is a strong emphasis in both the lectures and tutorials on applying these mathematical methods to real biomedical engineering problems involving electrical, mechanical, thermal and chemical mechanisms in the human body. Specific examples include heat regulation, vibrations in biological systems, and the analysis of physiological signals such as ECG and EEG."
Management,AMME5104,Applied Safety Systems and Risk Analysis,https://cusp.sydney.edu.au/students/view-unit-page/uos_id/289752,"AMME5104 aims to extend the knowledge and skills of students who have completed the prerequisite unit of study, ""ENGG5103 - Safety Systems and Risk Analysis""; building on the foundation material introduced in that unit of study. The effective management of workplace safety systems using Australian/New Zealand standards AS/NZS 4801/4804 is discussed and applied to typical engineering scenarios; some common international approaches and systems are also covered, though to a smaller extent. Processes and procedures related to the creation of risk assessments and analyses are explored, as related to common engineering disciplines. Systems and processes used to perform Hazard and Operability (Hazop) studies are introduced, alongside computational probability based risk quantification procedures. Methods to audit and monitor the performance of safety management systems are discussed, with a focus on the use of lead indicators. Various incident investigation techniques are examined, in conjunction with safety auditing systems. The classification and management of hazardous materials is addressed, with reference to legislative requirements. The importance of a positive workplace safety culture, and issues related to human factors in safety management are also studied and techniques to promote a strong safety culture explored. The unit of study incorporates the use of various real world case studies, from a variety of different engineering disciplines."
IT,COMP2907,Algorithms and Complexity (Advanced),https://cusp.sydney.edu.au/students/view-unit-page/uos_id/123508,An advanced alternative to COMP2007; covers material at an advanced and challenging level.
IT,COMP3608,Introduction to Artificial Intelligence (Adv),https://cusp.sydney.edu.au/students/view-unit-page/uos_id/124180,An advanced alternative to COMP3308; covers material at an advanced and challenging level.
IT,INFO5992,Understanding IT Innovations,https://cusp.sydney.edu.au/students/view-unit-page/uos_id/127292,"An essential skill for an IT manager is the ability to keep up-to-date with emerging technologies, and be able to evaluate the significance of these technologies to their organisation's business activities. This unit of study is based around a study of current technologies and the influence of these technologies on business strategies."
