Risk Management Analysis,"aims to extend the knowledge and skills of students who have completed the prerequisite unit of study ""ENGG5103 - Safety Systems and Risk Analysis""; building on the foundation material introduced in that unit of study. The effective management of workplace safety systems using Australian/New Zealand standards AS/NZS 4801/4804 is discussed and applied to typical engineering scenarios; some common international approaches and systems are also covered though to a smaller extent. Processes and procedures related to the creation of risk assessments and analyses are explored as related to common engineering disciplines. Systems and processes used to perform Hazard and Operability (Hazop) studies are introduced alongside computational probability based risk quantification procedures. Methods to audit and monitor the performance of safety management systems are discussed with a focus on the use of lead indicators. Various incident investigation techniques are examined in conjunction with safety auditing systems. The classification and management of hazardous materials is addressed with reference to legislative requirements. The importance of a positive workplace safety culture and issues related to human factors in safety management are also studied and techniques to promote a strong safety culture explored. The unit of study incorporates the use of various real world case studies from a variety of different engineering disciplines.",AMME5105,Management
Safety Systems Management,Objective : To develop an understanding and application of principles of safety systems management and risk management when considering engineering systems.,AERO5660,Aerospace
Unmanned Air Vehicle Systems,Objectives/Expected Outcomes: To develop specialist knowledge and understanding of Unmanned Air Vehicle (UAV) systems. To be able to assess evaluate and perform preliminary design analysis on complete UAV systems.,AERO5750,Aerospace
Introduction to Aircraft Construction and Design,The study towards BE(Aeronautical) involves learning about the Design Analysis Flight and Operation of Aircraft and other Flight Platforms. This unit facilitates the training towards becoming professional aeronautical engineers through a globally-unique experiential-learning opportunity to provide a strong background familiarity with aircraft hardware. This unit is designed to educate and facilitate the learning of aircraft design basic aircraft construction techniques the operation of light aircraft and the registration and regulations relating to light aircraft. In addition to hands-on skills on the construction phase this unit facilitates learning in motivations for unique aircraft design aircraft aerodynamics flight mechanics structural aspects and other design-related issues. Teamwork plays a very important role in this unit; the ability to work with peers and supervising staff is an invaluable skill sought after by employers of engineers.,AERO1400,Aerospace
Optimisation Methods in Engineering,The unit is intended primarily to graduate students and senior undergraduate students with some background in linear algebra and with basic knowledge of FORTRAN C++ or Matlab. After completion of this unit students will have a much deeper understanding of methods used in modern design optimisation for linear and non-linear problems. Such problems are becoming increasingly common and important in engineering and scientific work. The unit will explore the limitations advantages and caveats associated with optimisation in engineering applications. Students will develop their own optimisation methods for linear non-linear and multi-objective computational and experimental applications.,AERO5010,Aerospace
Space Engineering (Advanced),This postgraduate unit allows students to complete additional project work with the school's research teams as part of their studies.,AERO5700,Aerospace
Aerospace Structures 1,This unit aims to develop a student's understanding of the theoretical basis of advanced aerospace structural analysis; and introduce students to the solution of real-world aircraft structural problems. This unit of study will develop the following attributes: An understanding of the derivation of the fundamental equations of elasticity and their application in certain analytical problems; An understanding of plate theory and the ability to use this to obtain analytical solutions for plate bending and buckling problems; An understanding of energy-method to develop a deeper appreciation for the complexities of designing solution techniques for structural problems; An understanding of the basic principals behind stressed-skin aircraft construction and the practical analysis of typical aircraft components including the limitations of such techniques. At the end of this unit students will have an understanding of: 2-D and 3-D elasticity- general equations and solution techniques; Energy methods in structural analysis including the principles of virtual work and total potential and complimentary energies; Fundamental theory of plates including in-plane and bending loads as well as buckling and shear instabilities; Solution techniques for plate problems including Navier solutions for rectangular plates; Combined bending and in-plane loading problems; Energy methods for plate-bending; and Plate buckling for compression and shear loadings; Bending of beams with unsymmetrical cross-sections; Basic principles and theory of stressed-skin structural analysis; Determination of direct stresses and shear flows in arbitrary thin-walled beams under arbitrary loading conditions including: Unsymmetrical sections Open and closed sections Single and multi-cell closed sections Tapered sections Continuous and idealized sections; The analysis of common aircraft components including fuselages wings skin-panels stringers ribs frames and cut-outs; The effects of end constraints and shear-lag on the solutions developed as well as an overall appreciation of the limitations of the solution methods presented.,AERO3360,Aerospace
Flight Mechanics Test and Evaluation Adv [not running in 2020],This unit aims to develop an understanding of aircraft flight test validation and verification and the development of modern flight control guidance and navigation systems. Students will gain skills in analysis problem solving and systems design in the areas of aircraft dynamic system identification and control.,AERO5500,Aerospace
Flight Mechanics 1,This unit aims to develop an understanding of aircraft longitudinal equilibrium static stability dynamic stability and response. Students will develop an understanding of the importance and significance of flight stability will gain skills in dynamic system analysis and will learn mathematical tools used for prediction of aircraft flight behaviour. Students will gain skills in problem solving in the area of flight vehicle motion and learn the fundamentals of flight simulation.,AERO3560,Aerospace
Aerospace Design 2,This unit aims to develop an understanding of the aerospace industry procedures for design analysis and testing of aircraft and aerospace vehicle components. It provides a Design-Build-Test experience by putting into practice learning outcomes from this and other previously completed UoS through working on a small structure which is representative of a typical light metal aircraft. Students will be introduced to typical metallic and composite materials and structures for aerospace vehicles. The unit also provides an introduction to fatigue and damaged tolerance analysis of metallic aircraft structures. Experiential learning opportunities are provided to acquire skills and knowledge in structural design analyses testing methods procedures techniques and equipment.,AERO3465,Aerospace
Aerospace Design 3,This unit aims to develop an understanding of the application of design to the modern aerospace industry. Students will gain an overview of how to manage a design team and will also gain skills in carrying out detailed design problems. Course content will include: Design requirements; Sources of information for aircraft design; Configuration design: performance weight and balance propulsion; Aerodynamic design: lift drag and control; Structural design: loads materials; Philosophies of design and analysis; System design: requirements and specification; System design procedures; systems integration.,AERO4460,Aerospace
